T,n_eggs,eggs,n_i1,i1,n_i2,i2,n_i3,i3,n_i4,i4,n_i5,i5,n_pupae,pupae
8,0,inf,0,inf,0,inf,0,inf,0,inf,0,inf,0,inf
10,0,inf,28,25.9,14,23.2,0,inf,0,inf,0,inf,0,inf
12,77,26.8,48,23.4,23,16.1,15,12.7,12,15.7,11,25.5,0,inf
14,104,19.4,45,15.1,36,10.6,32,9.8,31,10.6,31,17.9,6,48
16,369,15.6,47,13.2,41,8.9,36,8.3,35,10,33,13.5,25,35.5
18,600,11,44,11.7,41,7.1,40,5.6,38,7,36,13.3,41,23.2
20,674,8.2,44,5.9,44,4.8,40,4.7,37,5.1,35,7.6,41,15.1
22,837,7,50,4.2,48,3.8,46,4,42,4.9,41,7.1,45,12.9
24,662,5.3,49,3.9,45,3.1,44,3.8,44,3.7,40,6.5,50,10.2
26,696,5.1,50,3.7,45,3,45,3.2,44,3.6,40,6.2,50,8.6
28,559,5,50,3.6,43,2.9,40,3,40,3.6,38,6,46,7.9
30,210,4.9,46,3.3,46,2.9,45,2.9,44,2.9,40,5.8,41,7.8
32,0,inf,47,4.5,43,3.4,42,3.4,38,3.9,26,6.9,45,7.7
34,0,inf,30,6.7,27,6.4,0,inf,0,inf,0,inf,19,inf
